PinName,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15
PA15,JTDI,TIMER1_CH0/TIMER1_ETI,,,,SPI0_NSS,SPI2_NSS/I2S2_WS,USART0_TX,,,,,,,,EVENTOUT
PB0,,TIMER0_CH1_ON,TIMER2_CH2,TIMER7_CH1_ON,,,,SPI2_MOSI/I2S2_SD,,,USBHS_ULPI_D1,,SDIO_D1,,,EVENTOUT
PB1,,TIMER0_CH2_ON,TIMER2_CH3,TIMER7_CH2_ON,,,,,,,USBHS_ULPI_D2,,SDIO_D2,,,EVENTOUT
PB2,,TIMER1_CH3,,,,,,SPI2_MOSI/I2S2_SD,,,USBHS_ULPI_D4,,SDIO_CK,,,EVENTOUT
PB3,JTDO/TRACESWO,TIMER1_CH1,,,,SPI0_SCK,SPI2_SCK/I2S2_CK,USART0_RX,,I2C1_SDA,,,,,,EVENTOUT
PB4,NJTRST,,TIMER2_CH0,,I2C0_TXFRAME,SPI0_MISO,SPI2_MISO,I2S2_ADD_SD,,I2C2_SDA,,,SDIO_D0,,,EVENTOUT
PB5,,,TIMER2_CH1,,I2C0_SMBA,SPI0_MOSI,SPI2_MOSI/I2S2_SD,,,CAN1_RX,USBHS_ULPI_D7,,,DCI_D10,,EVENTOUT
PB6,,,TIMER3_CH0,,I2C0_SCL,,,USART0_TX,,CAN1_TX,,,,DCI_D5,,EVENTOUT
PB7,,,TIMER3_CH1,,I2C0_SDA,,,USART0_RX,,,,,,DCI_VSYNC,,EVENTOUT
PB8,,TIMER1_CH0/TIMER1_ETI,TIMER3_CH2,TIMER9_CH0,I2C0_SCL,,,,,CAN0_RX,,,SDIO_D4,DCI_D6,,EVENTOUT
PB9,,TIMER1_CH1,TIMER3_CH3,TIMER10_CH0,I2C0_SDA,SPI1_NSS/I2S1_WS,,,,CAN0_TX,,,SDIO_D5,DCI_D7,,EVENTOUT
PB10,,TIMER1_CH2,,,I2C1_SCL,SPI1_SCK/I2S1_CK,I2S2_MCK,USART2_TX,,,USBHS_ULPI_D3,,SDIO_D7,,,EVENTOUT
PB11,,TIMER1_CH3,,,I2C1_SDA,I2S_CKIN,,USART2_RX,,,USBHS_ULPI_D4,,,,,EVENTOUT
PB12,,TIMER0_BRKIN,,,I2C1_SMBA,SPI1_NSS/I2S1_WS,,USART2_CK,,CAN1_RX,USBHS_ULPI_D5,,USBHS_ID,,,EVENTOUT
PB13,,TIMER0_CH0_ON,,,I2C1_TXFRAME,SPI1_SCK/I2S1_CK,,USART2_CTS,,CAN1_TX,USBHS_ULPI_D6,,,,,EVENTOUT
PB14,,TIMER0_CH1_ON,,TIMER7_CH1_ON,,SPI1_MISO,I2S1_ADD_SD,USART2_RTS,,TIMER11_CH0,,,USBHS_DM,,,EVENTOUT
PB15,RTC_REFIN,TIMER0_CH2_ON,,TIMER7_CH2_ON,,SPI1_MOSI/I2S1_SD,,,,TIMER11_CH1,,,USBHS_DP,,,EVENTOUT
PC0,,,,,,,,,,,USBHS_ULPI_STP,,,,,EVENTOUT
PC1,,,,,,SPI2_MOSI/I2S2_SD,,SPI1_MOSI/I2S1_SD,,,,,,,,EVENTOUT
PC2,,,,,,SPI1_MISO,I2S1_ADD_SD,,,,USBHS_ULPI_DIR,,,,,EVENTOUT
PC3,,,,,,SPI1_MOSI/I2S1_SD,,,,,USBHS_ULPI_NXT,,,,,EVENTOUT
PC4,,,,,,,,,,,,,,,,EVENTOUT
PC5,,,,,,,,USART2_RX,,,,,,,,EVENTOUT
PC6,,,TIMER2_CH0,TIMER7_CH0,,I2S1_MCK,,,USART5_TX,,,,SDIO_D6,DCI_D0,,EVENTOUT
PC7,,,TIMER2_CH1,TIMER7_CH1,,SPI1_SCK/I2S1_CK,I2S2_MCK,,USART5_RX,,,,SDIO_D7,DCI_D1,,EVENTOUT
PC8,,,TIMER2_CH2,TIMER7_CH2,,,,,USART5_CK,,,,SDIO_D0,DCI_D2,,EVENTOUT
PC9,CK_OUT1,,TIMER2_CH3,TIMER7_CH3,I2C2_SDA,I2S_CKIN,,,,,,,SDIO_D1,DCI_D3,,EVENTOUT
PC10,,,,,,,SPI2_SCK/I2S2_CK,USART2_TX,UART3_TX,,,,SDIO_D2,DCI_D8,,EVENTOUT
PC11,,,,,,I2S2_ADD_SD,SPI2_MISO,USART2_RX,UART3_RX,,,,SDIO_D3,DCI_D4,,EVENTOUT
PC12,,,,,I2C1_SDA,,SPI2_MOSI/I2S2_SD,USART2_CK,UART4_TX,,,,SDIO_CK,DCI_D9,,EVENTOUT
PC13,,,,,,,,,,,,,,,,EVENTOUT
PC14,,,,,,,,,,,,,,,,EVENTOUT
PC15,,,,,,,,,,,,,,,,EVENTOUT
PD0,,,,,,,SPI2_MOSI/I2S2_SD,,,CAN0_RX,,,,,,EVENTOUT
PD1,,,,,,,,SPI1_NSS/I2S1_WS,,CAN0_TX,,,,,,EVENTOUT
PD2,,,TIMER2_ETI,,,,,,UART4_RX,,,,SDIO_CMD,DCI_D11,,EVENTOUT
PD3,,,,,,SPI1_SCK/I2S1_CK,,USART1_CTS,,,,,,DCI_D5,,EVENTOUT
PD4,,,,,,,,USART1_RTS,,,,,,,,EVENTOUT
PD5,,,,,,,,USART1_TX,,,,,,,,EVENTOUT
PD6,,,,,,SPI2_MOSI/I2S2_SD,,USART1_RX,,,,,,DCI_D10,,EVENTOUT
PD7,,,,,,,,USART1_CK,,,,,,,,EVENTOUT
PD8,,,,,,,,USART2_TX,,,,,,,,EVENTOUT
PD9,,,,,,,,USART2_RX,,,,,,,,EVENTOUT
PD10,,,,,,,,USART2_CK,,,,,,,,EVENTOUT
PD11,,,,,,,,USART2_CTS,,,,,,,,EVENTOUT
PD12,,,TIMER3_CH0,,,,,USART2_RTS,,,,,,,,EVENTOUT
PD13,,,TIMER3_CH1,,,,,,,,,,,,,EVENTOUT
PD14,,,TIMER3_CH2,,,,,,,,,,,,,EVENTOUT
PD15,CTC_SYNC,,TIMER3_CH3,,,,,,,,,,,,,EVENTOUT
PE0,,,TIMER3_ETI,,,,,,,,,,,DCI_D2,,EVENTOUT
PE1,,TIMER0_CH1_ON,,,,,,,,,,,,DCI_D3,,EVENTOUT
PE2,,,,,,,,,,,,,,,,EVENTOUT
PE3,,,,,,,,,,,,,,,,EVENTOUT
PE4,,,,,,,,,,,,,,DCI_D4,,EVENTOUT
PE5,,,,TIMER8_CH0,,,,,,,,,,DCI_D6,,EVENTOUT
PE6,,,,TIMER8_CH1,,,,,,,,,,DCI_D7,,EVENTOUT
PE7,,TIMER0_ETI,,,,,,,,,,,,,,EVENTOUT
PE8,,TIMER0_CH0_ON,,,,,,,,,,,,,,EVENTOUT
PE9,,TIMER0_CH0,,,,,,,,,,,,,,EVENTOUT
PE10,,TIMER0_CH1_ON,,,,,,,,,,,,,,EVENTOUT
PE11,,TIMER0_CH1,,,,,,,,,,,,,,EVENTOUT
PE12,,TIMER0_CH2_ON,,,,,,,,,,,,,,EVENTOUT
PE13,,TIMER0_CH2,,,,,,,,,,,,,,EVENTOUT
PE14,,TIMER0_CH3,,,,,,,,,,,,,,EVENTOUT
PE15,,TIMER0_BRKIN,,,,,,,,,,,,,,EVENTOUT
PF0,CTC_SYNC,,,,I2C1_SDA,,,,,,,,,,,EVENTOUT
PF1,,,,,I2C1_SCL,,,,,,,,,,,EVENTOUT
PF2,,,,,I2C1_SMBA,,,,,,,,,,,EVENTOUT
PF3,,,,,I2C1_TXFRAME,,,,,,,,,,,EVENTOUT
PF4,,,,,,,,,,,,,,,,EVENTOUT
PF5,,,,,,,,,,,,,,,,EVENTOUT
PF6,,,,TIMER9_CH0,,,,,,,,,,,,EVENTOUT
PF7,,,,TIMER10_CH0,,,,,,,,,,,,EVENTOUT
PF8,,,,,,,,,,TIMER12_CH0,,,,,,EVENTOUT
PF9,,,,,,,,,,TIMER13_CH0,,,,,,EVENTOUT
PF10,,,,,,,,,,,,,,DCI_D11,,EVENTOUT
PF11,,,,,,,,,,,,,,DCI_D12,,EVENTOUT
PF12,,,,,,,,,,,,,,,,EVENTOUT
PF13,,,,,,,,,,,,,,,,EVENTOUT
PF14,,,,,,,,,,,,,,,,EVENTOUT
PF15,,,,,,,,,,,,,,,,EVENTOUT
PG0,,,,,,,,,,,,,,,,EVENTOUT
PG1,,,,,,,,,,,,,,,,EVENTOUT
PG2,,,,,,,,,,,,,,,,EVENTOUT
PG3,,,,,,,,,,,,,,,,EVENTOUT
PG4,,,,,,,,,,,,,,,,EVENTOUT
PG5,,,,,,,,,,,,,,,,EVENTOUT
PG6,,,,,,,,,,,,,,DCI_D12,,EVENTOUT
PG7,,,,,,,,,USART5_CK,,,,,DCI_D13,,EVENTOUT
PG8,,,,,,,,,USART5_RTS,,,,,,,EVENTOUT
PG9,,,,,,,,,USART5_RX,,,,,DCI_VSYNC,,EVENTOUT
PG10,,,,,,,,,,,,,,DCI_D2,,EVENTOUT
PG11,,,,,,,,,,,,,,DCI_D3,,EVENTOUT
PG12,,,,,,,,,USART5_RTS,,,,,,,EVENTOUT
PG13,,,,,,,,,USART5_CTS,,,,,,,EVENTOUT
PG14,,,,,,,,,USART5_TX,,,,,,,EVENTOUT
PG15,,,,,,,,,USART5_CTS,,,,,DCI_D13,,EVENTOUT
PH0,,,,,,,,,,,,,,,,EVENTOUT
PH1,,,,,,,,,,,,,,,,EVENTOUT
