PinName,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15
PB7,USART0_RX,TIMER0_CH3,TIMER16_CH0_ON,TIMER2_CH3,SPI1_MOSI,,I2C0_SDA,EVENTOUT,,USART1_CTS,TIMER15_CH0,TIMER2_CH0,,,I2C0_SCL,
PB8,SPI1_SCK,USART1_CTS,TIMER15_CH0,TIMER2_CH0,,,I2C0_SCL,EVENTOUT,,,,,,,,
PB9,,USART1_RTS_DE_CK,TIMER16_CH0,TIMER2_CH1,,SPI1_NSS,I2C0_SDA,EVENTOUT,,,,,,,,
PB10,,USART2_RX,,,,SPI1_SCK,I2C1_SCL,CMP0_OUT,,,,,,,,
PB11,SPI1_MOSI,USART2_TX,,,,,I2C1_SDA,CMP1_OUT,,,,,,,,
PB12,SPI1_NSS,TIMER0_BRKIN1,TIMER0_BRKIN0,USART2_RTS_DE_CK,,,,EVENTOUT,,,,,,,,
PB13,SPI1_SCK,USART2_CTS,TIMER0_CH0_ON,,,,,EVENTOUT,,,,,,,,
PB14,SPI1_MISO,,TIMER0_CH1_ON,,,,,EVENTOUT,,,,,,,,
PB15,SPI1_MOSI,,TIMER0_CH2_ON,,,,,EVENTOUT,,,,,,,,
PC6,,TIMER2_CH0,,,,,,,,,,,,,,
PC7,,TIMER2_CH1,,,,,,,,,,,,,,
PC13,,TIMER0_ETI,TIMER0_BRKIN0,,,,,,,,,,,,,
PC14,USART0_TX,TIMER0_ETI,TIMER0_BRKIN1,,,,,,,USART1_RTS_DE_CK,TIMER16_CH0,TIMER2_CH1,,,,EVENTOUT
PC15,OSC32EN,OSCEN,TIMER0_ETI,TIMER2_CH2,,,,,,,,,,,,
PD0,EVENTOUT,SPI1_NSS,TIMER15_CH0,,,,,,,,,,,,,
PD1,EVENTOUT,SPI1_SCK,TIMER16_CH0,,,,,,,,,,,,,
PD2,,TIMER2_ETI,TIMER0_CH0_ON,,,,,,,,,,,,,
PD3,USART1_CTS,SPI1_MISO,TIMER0_CH1_ON,,,,,,,,,,,,,
PF0,,,TIMER13_CH0,,,,,,,,,,,,,
PF1,OSCEN,,,,,,,,,,,,,,,
PF2,CK_OUT0,TIMER0_CH3,,,,,,,,,,,,,,
PF3,,,,,,,,,,,,,,,,
