PinName,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15
PC2,,,,,,SPI1_MISO,I2S1_ADD_SD,,,,USBHS_ULPI_DIR,ENET_MII_TXD2,EXMC_SDNEO,,,EVENTOUT
PC3,,,,,,SPI1_MOSI/I2S1_SD,,,,,USBHS_ULPI_NXT,ENET_MII_TX_CLK,EXMC_SDCKE0,,,EVENTOUT
PC4,,,,,,,,,,,,ENET_MII_RXD0/ENT_RMII_RXD0,EXMC_SDNEO,,,EVENTOUT
PC5,,,,,,,,USART2_RX,,,,ENET_MII_RXD1/ENT_RMII_RXD1,EXMC_SDCKE0,,,EVENTOUT
PC6,,,TIMER2_CH0,TIMER7_CH0,,I2S1_MCK,,,USART5_TX,,,,SDIO_D6,DCI_D0,,EVENTOUT
PC7,,,TIMER2_CH1,TIMER7_CH1,,SPI1_SCK/I2S1_CK,I2S2_MCK,,USART5_RX,,,,SDIO_D7,DCI_D1,,EVENTOUT
PC8,TRACED0,,TIMER2_CH2,TIMER7_CH2,,,,,USART5_CK,,,,SDIO_D0,DCI_D2,,EVENTOUT
PC9,CK_OUT1,,TIMER2_CH3,TIMER7_CH3,I2C2_SDA,I2S_CKIN,,,,,,,SDIO_D1,DCI_D3,,EVENTOUT
PC10,,,,,,,SPI2_SCK/I2S2_CK,USART2_TX,UART3_TX,,,,SDIO_D2,DCI_D8,,EVENTOUT
PC11,,,,,,I2S2_ADD_SD,SPI2_MISO,USART2_RX,UART3_RX,,,,SDIO_D3,DCI_D4,,EVENTOUT
PC12,,,,,I2C1_SDA,,SPI2_MOSI/I2S2_SD,USART2_CK,UART4_TX,,,,SDIO_CK,DCI_D9,,EVENTOUT
PC13,,,,,,,,,,,,,,,,EVENTOUT
PC14,,,,,,,,,,,,,,,,EVENTOUT
PC15,,,,,,,,,,,,,,,,EVENTOUT
PD0,,,,,,,SPI2_MOSI/I2S2_SD,,,CAN0_RX,,,EXMC_D2,,,EVENTOUT
PD1,,,,,,,,SPI1_NSS/I2S1_WS,,CAN0_TX,,,EXMC_D3,,,EVENTOUT
PD2,,,TIMER2_ETI,,,,,,UART4_RX,,,,SDIO_CMD,DCI_D11,,EVENTOUT
PD3,TRACED1,,,,,SPI1_SCK/I2S1_CK,,USART1_CTS,,,,,EXMC_CLK,DCI_D5,,EVENTOUT
PD4,,,,,,,,USART1_RTS,,,,,EXMC_NOE,,,EVENTOUT
PD5,,,,,,,,USART1_TX,,,,,EXMC_NWE,,,EVENTOUT
PD6,,,,,,SPI2_MOSI/I2S2_SD,,USART1_RX,,,,,EXMC_NWAIT,DCI_D10,,EVENTOUT
PD7,,,,,,,,USART1_CK,,,,,EXMC_NE0/EXMC_NCE1,,,EVENTOUT
PD8,,,,,,,,USART2_TX,,,,,EXMC_D13,,,EVENTOUT
PD9,,,,,,,,USART2_RX,,,,,EXMC_D14,,,EVENTOUT
PD10,,,,,,,,USART2_CK,,,,,EXMC_D15,,,EVENTOUT
PD11,,,,,,,,USART2_CTS,,,,,EXMC_A16/EXMC_CLE,,,EVENTOUT
PD12,,,TIMER3_CH0,,,,,USART2_RTS,,,,,EXMC_A17/EXMC_ALE,,,EVENTOUT
PD13,,,TIMER3_CH1,,,,,,,,,,EXMC_A18,,,EVENTOUT
PD14,,,TIMER3_CH2,,,,,,,,,,EXMC_D0,,,EVENTOUT
PD15,CTC_SYNC,,TIMER3_CH3,,,,,,,,,,EXMC_D1,,,EVENTOUT
PE0,,,TIMER3_ETI,,,,,,,,,,EXMC_NBL0,DCI_D2,,EVENTOUT
PE1,,TIMER0_CH1_ON,,,,,,,,,,,EXMC_NBL1,DCI_D3,,EVENTOUT
PE2,TRACECK,,,,,,,,,,,ENET_MII_TXD3,EXMC_A23,,,EVENTOUT
PE3,TRACED0,,,,,,,,,,,,EXMC_A19,,,EVENTOUT
PE4,TRACED1,,,,,,,,,,,,EXMC_A20,DCI_D4,,EVENTOUT
PE5,TRACED2,,,TIMER8_CH0,,,,,,,,,EXMC_A21,DCI_D6,,EVENTOUT
PE6,TRACED3,,,TIMER8_CH1,,,,,,,,,EXMC_A22,DCI_D7,,EVENTOUT
PE7,,TIMER0_ETI,,,,,,,,,,,EXMC_D4,,,EVENTOUT
PE8,,TIMER0_CH0_ON,,,,,,,,,,,EXMC_D5,,,EVENTOUT
PE9,,TIMER0_CH0,,,,,,,,,,,EXMC_D6,,,EVENTOUT
PE10,,TIMER0_CH1_ON,,,,,,,,,,,EXMC_D7,,,EVENTOUT
PE11,,TIMER0_CH1,,,,,,,,,,,EXMC_D8,,,EVENTOUT
PE12,,TIMER0_CH2_ON,,,,,,,,,,,EXMC_D9,,,EVENTOUT
PE13,,TIMER0_CH2,,,,,,,,,,,EXMC_D10,,,EVENTOUT
PE14,,TIMER0_CH3,,,,,,,,,,,EXMC_D11,,,EVENTOUT
PE15,,TIMER0_BRKIN,,,,,,,,,,,EXMC_D12,,,EVENTOUT
PH0,,,,,,,,,,,,,,,,EVENTOUT
PH1,,,,,,,,,,,,,,,,EVENTOUT
PH2,,,,,,,,,,,,ENET_MII_CRS,EXMC_SDCKE0,,,EVENTOUT
PH3,,,,,I2C1_TXFRAME,,,,,,,ENET_MIICOL,EXMC_SDNE0,,,EVENTOUT
PH4,,,,,I2C1_SCL,,,,,,USBHS_ULPI_NXT,,,,,EVENTOUT
PH5,,,,,I2C1_SDA,,,,,,,,EXMC_SDNWE,,,EVENTOUT
PH6,,,,,I2C1_SMBA,,,,,TIMER11_CH0,,ENET_MII_RXD2,EXMC_SDNE1,DCI_D8,,EVENTOUT
PH7,,,,,I2C2_SCL,,,,,,,ENET_MIIRXD3,EXMC_SDCKE1,DCI_D9,,EVENTOUT
PH8,,,,,I2C2_SDA,,,,,,,,EXMC_D16,DCI_HSYNC,,EVENTOUT
PH9,,,,,I2C2_SMBA,,,,,TIMER11_CH1,,,EXMC_D17,DCI_D0,,EVENTOUT
PH10,,,TIMER4_CH0,,I2C2_TXFRAME,,,,,,,,EXMC_D18,DCI_D1,,EVENTOUT
PH11,,,TIMER4_CH1,,,,,,,,,,EXMC_D19,DCI_D2,,EVENTOUT
PH12,,,TIMER4_CH2,,,,,,,,,,EXMC_D20,DCI_D3,,EVENTOUT
PH13,,,,TIMER7_CH0_ON,,,,,,CAN0_TX,,,EXMC_D21,,,EVENTOUT
PH14,,,,TIMER7_CH1_ON,,,,,,,,,EXMC_D22,DCI_D4,,EVENTOUT
PH15,,,,TIMER7_CH2_ON,,,,,,,,,EXMC_D23,DCI_D11,,EVENTOUT
PG0,,,,,,,,,,,,,EXMC_A10,,,EVENTOUT
PG1,,,,,,,,,,,,,EXMC_A11,,,EVENTOUT
PG2,,,,,,,,,,,,,EXMC_A12,,,EVENTOUT
PG3,,,,,,,,,,,,,EXMC_A13,,,EVENTOUT
PG4,,,,,,,,,,,,,EXMC_A14,,,EVENTOUT
PG5,,,,,,,,,,,,,EXMC_A15,,,EVENTOUT
PG6,,,,,,,,,,,,,EXMC_INT1,DCI_D12,,EVENTOUT
PG7,,,,,,,,,USART5_CK,,,,EXMC_INT2,DCI_D13,,EVENTOUT
PG8,,,,,,,,,USART5_RTS,,,ENET_PPS_OUT,EXMC_SDCLK,,,EVENTOUT
PG9,,,,,,,,,USART5_RX,,,,EXMC_NE1/EXMC_NCE2,DCI_VSYNC,,EVENTOUT
PG10,,,,,,,,,,,,,EXMC_NCE3_O/EXMC_NE2,DCI_D2,,EVENTOUT
PG11,,,,,,,,,,,,ENET_MII_TX_EN/ENET_RMII_TX_EN,EXMC_NCE3_1,DCI_D3,,EVENTOUT
PG12,,,,,,,,,USART5_RTS,,,,EXMC_NE3,,,EVENTOUT
PG13,TRACED2,,,,,,,,USART5_CTS,,,ENET_MII_TXDO/ENET_RMII_TXD0,EXMC_A24,,,EVENTOUT
PG14,TRACED3,,,,,,,,USART5_TX,,,ENET_MII_TXD1/ENET_RMII_TXD1,EXMC_A25,,,EVENTOUT
PG15,,,,,,,,,USART5_CTS,,,,EXMC_SDNCAS,DCI_D13,,EVENTOUT
PF0,CTC_SYNC,,,,I2C1_SDA,,,,,,,,EXMC_A0,,,EVENTOUT
PF1,,,,,I2C1_SCL,,,,,,,,EXMC_A1,,,EVENTOUT
PF2,,,,,I2C1_SMBA,,,,,,,,EXMC_A2,,,EVENTOUT
PF3,,,,,I2C1_TXFRAME,,,,,,,,EXMC_A3,,,EVENTOUT
PF4,,,,,,,,,,,,,EXMC_A4,,,EVENTOUT
PF5,,,,,,,,,,,,,EXMC_A5,,,EVENTOUT
PF6,,,,TIMER9_CH0,,,,,,,,,EXMC_NIORD,,,EVENTOUT
PF7,,,,TIMER10_CH0,,,,,,,,,EXMC_NREG,,,EVENTOUT
PF8,,,,,,,,,,TIMER12_CHO,,,EXMC_NIOWR,,,EVENTOUT
PF9,,,,,,,,,,TIMER13_CHO,,,EXMC_CD,,,EVENTOUT
PF10,,,,,,,,,,,,,EXMC_INTR,DCI_D11,,EVENTOUT
PF11,,,,,,,,,,,,,EXMC_SDNRAS,DCI_D12,,EVENTOUT
PF12,,,,,,,,,,,,,EXMC_A6,,,EVENTOUT
PF13,,,,,,,,,,,,,EXMC_A7,,,EVENTOUT
PF14,,,,,,,,,,,,,EXMC_A8,,,EVENTOUT
PF15,,,,,,,,,,,,,EXMC_A9,,,EVENTOUT
PI0,,,TIMER4_CH3,,,SPI1_NSS/I2S1_WS,,,,,,,EXMC_D24,DCI_D13,,EVENTOUT
PI1,,,,,,SPI1_SCK/I2S1_CK,,,,,,,EXMC_D25,DCI_D8,,EVENTOUT
PI2,,,,TIMER7_CH3,,SPI1_MISO,I2S1_ADD_SD,,,,,,EXMC_D26,DCI_D9,,EVENTOUT
PI3,,,,TIMER7_ETI,,SPI1_MOSI/I2S1_SD,,,,,,,EXMC_D27,DCI_D10,,EVENTOUT
PI4,,,,TIMER7_BRKIN,,,,,,,,,EXMC_NBL2,DCI_D5,,EVENTOUT
PI5,,,,TIMER7_CH0,,,,,,,,,EXMC_NBL3,DCI_VSYNC,,EVENTOUT
PI6,,,,TIMER7_CH1,,,,,,,,,EXMC_D28,DCI_D6,,EVENTOUT
PI7,,,,TIMER7_CH2,,,,,,,,,EXMC_D29,DCI_D7,,EVENTOUT
PI8,,,,,,,,,,,,,,,,EVENTOUT
PI9,,,,,,,,,,CAN0_RX,,,EXMC_D30,,,EVENTOUT
PI10,,,,,,,,,,,,ENET_MII_RX_ER,EXMC_D31,,,EVENTOUT
PI11,,,,,,,,,,,USBHS_ULPI_DIR,,,,,EVENTOUT
